PARCEL_APN,TAXAPN,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,LATITUDE,LONGITUDE,ASSESSEE_OWNER_NAME_1,ASSESSEE_OWNER_NAME_2,ASSESSEE_MAIL_CITY,ASSESSEE_MAIL_STATE,ASSESSEE_MAIL_ZIP,VAL_ASSD_LAND,VAL_ASSD_IMPRV,VAL_ASSD,ASMT_YEAR,ASMT_RCDRS_DATE_TRANSFER,ASMT_VAL_TRANSFER,USE_CODE_MUNI_DESC,USE_CODE_MUNI,USE_CODE_STD_LPS,USE_CODE_STD_DESC_LPS,ZONING,LOT_SIZE_AREA,LOT_SIZE_AREA_UNIT,LIVING_SQFT,YR_BLT,BUILDING_SQFT,STORIES_NUMBER,UNITS_NUMBER,BEDROOMS,TOTAL_BATHS_CALCULATED,VAL_MRKT_LAND,VAL_MRKT_IMPRV,VAL_MARKET,LAST_SALE_DATE_TRANSFER,VAL_TRANSFER,JURISDICTION,H3_INT_9,vacancy_tier,exclusion_reason
24300100270000,243-0010-027-0000,6360 FOUNTAIN SQUARE DR,CITRUS HEIGHTS,CA,95621.0,38.682766,-121.296453,CITY OF CITRUS HEIGHTS,,CITRUS HEIGHTS,CA,95621.0,,,,2024.0,,0.0,OFFICE - SINGLE TENANT,CBA0GA,3003.0,OFFICE BLDG (GENERAL),SPA,11.08,AC,39020.0,2016.0,39020.0,1.0,,,,,,,20170117.0,6403500.0,UNINCORPORATED COUNTY,617700322274705407,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
24300200670000,243-0020-067-0000,7115 GREENBACK LN,CITRUS HEIGHTS,CA,95621.0,38.679187,-121.298881,CITY OF CITRUS HEIGHTS NRES,,RANCHO CORDOVA,CA,95670.0,,,,2024.0,,0.0,MEDICAL/DENTAL OFFICES,CGC00A,3006.0,MEDICAL BLDG/CLINIC,SC,3.99,AC,67470.0,2019.0,67470.0,3.0,,,,,,,20060123.0,5250000.0,UNINCORPORATED COUNTY,617700322049261567,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
24301800040000,243-0180-004-0000,7515 GREENBACK LN,CITRUS HEIGHTS,CA,95610.0,38.678506,-121.28935,CITRUS HEIGHTS WATER DISTRICT,,CITRUS HEIGHTS,CA,95610.0,,,,2024.0,,0.0,SMALL RETAIL-ONE TENANT,BAA00A,2001.0,"RETAIL STORES ( PERSONAL SERVICES, PHOTOGRAPHY, TRAVEL)",BP,5017.0,SF,900.0,1953.0,900.0,1.0,,,0.0,,,,20220519.0,,UNINCORPORATED COUNTY,617700322088058879,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
24303110230000,243-0311-023-0000,6054 SHUPE DR,CITRUS HEIGHTS,CA,95621.0,38.676156,-121.295365,HOUSING AUTHORITY OF THE COUNTY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,19830520.0,0.0,MULTI/LOW RISE APARTMENT/1-3 STY,AE020E,1104.0,APARTMENT HOUSE (5+ UNITS),RD20,42096.0,SF,15954.0,1982.0,15954.0,2,20.0,,,,,,,,UNINCORPORATED COUNTY,617700322050834431,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
23603600140000,236-0360-014-0000,6025 RUTLAND DR,CARMICHAEL,CA,95608.0,38.663289,-121.323577,NEIL J & DIANA H TOWNLEY REVOCABLE LIVING TRUST,,SACRAMENTO,CA,95864.0,201.0,,201.0,2024.0,,0.0,RES/TWO FAMILY/DUPLEX,A2B00A,1101.0,"DUPLEX (2 UNITS, ANY COMBINATION)",RD-10,514.0,SF,2119.0,1974.0,2119.0,1,,4.0,,,,,,,UNINCORPORATED COUNTY,617700321798651903,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
23603600180000,236-0360-018-0000,6107 TEMPLETON DR,CARMICHAEL,CA,95608.0,38.663145,-121.323591,PEDRO & HILDA E RIVERA 2015 REV LIVING TRUST,,FAIR OAKS,CA,95628.0,1113.0,,1113.0,2024.0,,0.0,RES/TWO FAMILY/DUPLEX,A2B00B,1101.0,"DUPLEX (2 UNITS, ANY COMBINATION)",RD-10,436.0,SF,2119.0,1974.0,2119.0,1,,4.0,,,,,20180131.0,397000.0,UNINCORPORATED COUNTY,617700321798651903,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25001500670000,250-0150-067-0000,716 SOUTH AVE,SACRAMENTO,CA,95838.0,38.632253,-121.449401,KAMATH SATISH & SREEDEVI & RAMJI MANI & MEERA RAMAIYER,,FREMONT,CA,94536.0,208080.0,,208080.0,2024.0,,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00A,1001.0,SINGLE FAMILY RESIDENTIAL,R-1-SPD,20427.0,SF,1896.0,2017.0,1896.0,2.0,,4.0,,,,,20220429.0,200000.0,CITY OF SACRAMENTO,617700322454536191,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25101310110000,251-0131-011-0000,3601 RIO LINDA BLVD,SACRAMENTO,CA,95838.0,38.633291,-121.446417,HOUSING AUTHORITY OF CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,,0.0,SMALL RETAIL-ONE TENANT,BAA00A,2001.0,"RETAIL STORES ( PERSONAL SERVICES, PHOTOGRAPHY, TRAVEL)",RMX,11998.0,SF,2100.0,1966.0,2100.0,1.0,,,,,,,,,CITY OF SACRAMENTO,617700322458468351,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25004700030000,250-0470-003-0000,3380 TAYLOR ST,SACRAMENTO,CA,95838.0,38.628684,-121.452313,HOUSING AUTHORITY OF CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00A,1001.0,SINGLE FAMILY RESIDENTIAL,R-1A-SPD,5198.0,SF,1752.0,2008.0,1752.0,2.0,,4.0,,,,,20090128.0,,CITY OF SACRAMENTO,617700322454011903,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25004700010000,250-0470-001-0000,3368 TAYLOR ST,SACRAMENTO,CA,95838.0,38.628427,-121.452316,HOUSING AUTHORITY OF CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00A,1001.0,SINGLE FAMILY RESIDENTIAL,R-1A-SPD,4221.0,SF,1897.0,2008.0,1897.0,2.0,,5.0,,,,,20090128.0,,CITY OF SACRAMENTO,617700322455584767,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
25004700020000,250-0470-002-0000,3374 TAYLOR ST,SACRAMENTO,CA,95838.0,38.628549,-121.452316,HOUSING AUTHORITY OF CITY OF SACRAMENTO,,SACRAMENTO,CA,95814.0,,,,2024.0,,0.0,RES/SINGLE FAMILY/SUBDIVISION,A1A00A,1001.0,SINGLE FAMILY RESIDENTIAL,R-1A-SPD,4676.0,SF,1455.0,2008.0,1455.0,2.0,,3.0,,,,,20090128.0,,CITY OF SACRAMENTO,617700322454011903,Tier 2: Zero Improvement,occupied_structure_missing_improvement_data
