PARCEL_APN,TAXAPN,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,LATITUDE,LONGITUDE,ASSESSEE_OWNER_NAME_1,ASSESSEE_OWNER_NAME_2,ASSESSEE_MAIL_CITY,ASSESSEE_MAIL_STATE,ASSESSEE_MAIL_ZIP,VAL_ASSD_LAND,VAL_ASSD_IMPRV,VAL_ASSD,ASMT_YEAR,ASMT_RCDRS_DATE_TRANSFER,ASMT_VAL_TRANSFER,USE_CODE_MUNI_DESC,USE_CODE_MUNI,USE_CODE_STD_LPS,USE_CODE_STD_DESC_LPS,ZONING,LOT_SIZE_AREA,LOT_SIZE_AREA_UNIT,LIVING_SQFT,YR_BLT,BUILDING_SQFT,STORIES_NUMBER,UNITS_NUMBER,BEDROOMS,TOTAL_BATHS_CALCULATED,VAL_MRKT_LAND,VAL_MRKT_IMPRV,VAL_MARKET,LAST_SALE_DATE_TRANSFER,VAL_TRANSFER,JURISDICTION,H3_INT_9,vacancy_tier
26800100070000,268-0010-007-0000,2328 EDISON AVE,SACRAMENTO,CA,95821.0,38.623939,-121.40819,FULTON EL CAMINO RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95825.0,,,,2024.0,,0.0,RES/FOUR FAMILY/1 SFU+1 TRIPLEX,A4B00A,1103.0,"QUADRUPLEX (4 UNITS, ANY COMBINATION)",RD-20,28920.0,SF,2621.0,1950.0,2621.0,2.0,,5.0,,,,,20190214.0,550000.0,UNINCORPORATED COUNTY,617700322531606527,Tier 2: Zero Improvement
26800100080000,268-0010-008-0000,2332 EDISON AVE,SACRAMENTO,CA,95821.0,38.623975,-121.407878,FULTON EL CAMINO RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95825.0,,,,2024.0,20120316.0,0.0,RES/TWO FAMILY/2 SFU,A2A00A,1024.0,,RD-20,29084.0,SF,1910.0,1947.0,1910.0,1.0,,3.0,,,,,20120316.0,115000.0,UNINCORPORATED COUNTY,617700322531606527,Tier 2: Zero Improvement
26800100090000,268-0010-009-0000,2336 EDISON AVE,SACRAMENTO,CA,95821.0,38.624062,-121.407598,FULTON ELCAMINO REC & PARK DIST,,SACRAMENTO,CA,95821.0,,,,2024.0,20091230.0,0.0,RES/SINGLE FAMILY,A1000P,1001.0,SINGLE FAMILY RESIDENTIAL,RD-20,28375.0,SF,776.0,1930.0,776.0,1.0,,2.0,,,,,20091230.0,45000.0,UNINCORPORATED COUNTY,617700322531606527,Tier 2: Zero Improvement
25603900620000,256-0390-062-0000,SALEM WAY,CARMICHAEL,CA,95608.0,38.634565,-121.355194,MISSION OAKS RECREATION & PARK DISTRICT,,CARMICHAEL,CA,95608.0,,,,2024.0,20051123.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",BP (NPA),2730.0,SF,,,,,,,,,,,20051123.0,,UNINCORPORATED COUNTY,617700321767194623,Tier 2: Zero Improvement
11511300660000,115-1130-066-0000,POWER INN RD,SACRAMENTO,CA,95828.0,38.469911,-121.408577,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19920824.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,9271.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308483571711,Tier 2: Zero Improvement
11511800930000,115-1180-093-0000,7901 IONA WAY,SACRAMENTO,CA,95828.0,38.470071,-121.40452,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19891206.0,0.0,VACANT RESIDENTIAL UNDER 10 AC,IAAAAE,8001.0,RESIDENTIAL-VACANT LAND,RD-5,1.53,AC,,,,,,,,,,,20050805.0,1750000.0,UNINCORPORATED COUNTY,617700308573224959,Tier 1: Coded Vacant
11508601290000,115-0860-129-0000,POWER INN RD,SACRAMENTO,CA,95828.0,38.462108,-121.408064,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19880208.0,0.0,VACANT RESIDENTIAL UNDER 2 AC,IAEAAE,8001.0,RESIDENTIAL-VACANT LAND,SPA,22782.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308581613567,Tier 1: Coded Vacant
11508600180000,115-0860-018-0000,OAK LANDING CT,SACRAMENTO,CA,95828.0,38.460145,-121.405775,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19890105.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",SPA,218.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308582662143,Tier 2: Zero Improvement
11508600190000,115-0860-019-0000,OAK LANDING CT,SACRAMENTO,CA,95828.0,38.460151,-121.405607,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19890105.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",SPA,131.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308582662143,Tier 2: Zero Improvement
11508600320000,115-0860-032-0000,HEATHER GROVE CT,SACRAMENTO,CA,95828.0,38.460176,-121.404606,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19890105.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",SPA,261.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308582662143,Tier 2: Zero Improvement
11501300170000,115-0130-017-0000,POWER INN RD,SACRAMENTO,CA,95828.0,38.459939,-121.405117,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19860811.0,0.0,VACANT RESIDENTIAL UNDER 10 AC,IAAAAA,8001.0,RESIDENTIAL-VACANT LAND,SPA,2.1400001,AC,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308582662143,Tier 1: Coded Vacant
11508600310000,115-0860-031-0000,HEATHER GROVE CT,SACRAMENTO,CA,95828.0,38.460176,-121.404786,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19890105.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",SPA,218.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308582662143,Tier 2: Zero Improvement
11511500230000,115-1150-023-0000,AUBERRY RD,SACRAMENTO,CA,95828.0,38.455234,-121.399204,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19891206.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",SPA,2965.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308579516415,Tier 2: Zero Improvement
11511500240000,115-1150-024-0000,CALVINE RD,SACRAMENTO,CA,95828.0,38.45451,-121.399065,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19891206.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",SPA,7400.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308580564991,Tier 2: Zero Improvement
11509700890000,115-0970-089-0000,BERINGER CT,SACRAMENTO,CA,95828.0,38.460009,-121.38841,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19880208.0,0.0,VACANT RESIDENTIAL UNDER 2 AC,IAEAAE,8001.0,RESIDENTIAL-VACANT LAND,SPA,29620.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308583710719,Tier 1: Coded Vacant
11515400280000,115-1540-028-0000,KEECH CT,SACRAMENTO,CA,95828.0,38.459864,-121.38835,SOUTHGATE PARKS & RECREATION DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19971028.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,165.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308583710719,Tier 2: Zero Improvement
11511401020000,115-1140-102-0000,CALVINE RD,SACRAMENTO,CA,95828.0,38.454079,-121.398227,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19891206.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",SPA,22900.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308580564991,Tier 2: Zero Improvement
11501420350000,115-0142-035-0000,CALVINE RD,SACRAMENTO,CA,95828.0,38.457203,-121.382882,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19971231.0,0.0,VACANT RESIDENTIAL UNDER 10 AC,IAAAAA,8001.0,RESIDENTIAL-VACANT LAND,O RD-5,4.9200001,AC,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308583448575,Tier 1: Coded Vacant
11509800160000,115-0980-016-0000,SONOMA HILLS WAY,SACRAMENTO,CA,95828.0,38.460013,-121.385744,SOUTHGATE RECREATION & PARK DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19880208.0,0.0,RES/SINGLE FAMILY,A1000P,1001.0,SINGLE FAMILY RESIDENTIAL,SPA,2.8499999,AC,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308584235007,Tier 2: Zero Improvement
11515400300000,115-1540-030-0000,ORELLI CT,SACRAMENTO,CA,95828.0,38.459871,-121.387432,SOUTHGATE PARKS & RECREATION DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19971028.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,90.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308583710719,Tier 2: Zero Improvement
11515400290000,115-1540-029-0000,ORELLI CT,SACRAMENTO,CA,95828.0,38.459868,-121.387569,SOUTHGATE PARKS & RECREATION DISTRICT,,SACRAMENTO,CA,95823.0,,,,2024.0,19971028.0,0.0,"MISC, UNUSABLE-SMALL",MSMALA,8009.0,"WASTE LAND, MARSH, SWAMP, SUBMERGED-VACANT LAND",RD-5,89.0,SF,,,,,,,,,,,,,UNINCORPORATED COUNTY,617700308583710719,Tier 2: Zero Improvement
