,vacant_parcels,commercial_eligible_parcels,total_prop13_gap,total_potential_property_tax_uplift,total_estimated_annual_sales_tax_total,total_estimated_annual_sales_tax_city
Outside city council districts,19937.0,1222.0,102292583099.23405,1125218414.0915744,757807319.5157787,173213101.60360658
District 7 (Rick Jennings II),817.0,37.0,4941173333.391405,54352906.667305455,13953764.270653982,3189431.8332923385
District 2 (Roger Dickinson),1693.0,240.0,4449174712.641977,48940921.839061745,42944414.891146585,9815866.260833507
District 6 (Eric Guerra),902.0,73.0,3747623086.406156,41223853.95046771,17420390.353946354,3981803.5094734533
District 4 (Phil Pluckebaum),1732.0,225.0,3570549713.658582,39276046.8502444,83779691.16866721,19149643.695695363
District 3 (Karina Talamantes),530.0,104.0,3550315231.3681498,39053467.545049645,29398820.903073188,6719730.492131013
District 1 (Lisa Kaplan),1033.0,35.0,3498803402.976072,38486837.432736784,17625009.858259283,4028573.681887836
District 8 (Mai Vang),675.0,44.0,3304591552.2288923,36350507.07451782,28587563.94261241,6534300.3297399795
District 5 (Caity Maple),1107.0,150.0,1222891479.7816012,13451806.277597612,25187130.105518535,5757058.309832808
CITYWIDE TOTAL,28426.0,2130.0,130577705611.68687,1436354761.7285557,1016704105.0096563,232389509.7164929
